Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
       0.4395, 0.00494164787233, 0.203970193863, 0.284277617931, 287.059020996, -246.995986938, 5604.32519531, -17.2973232269, 7.79450511932
         0.44, 0.00494867609814, 0.203702926636, 0.284831762314, 287.673400879, -247.250732422, 5600.48583984, -17.0953578949, 7.73836803436
       0.4405, 0.00495576299727, 0.203336238861, 0.285371333361, 288.295349121, -247.882217407, 5596.83837891, -16.6459922791, 7.58103084564
        0.441, 0.00496309017763, 0.203071549535, 0.285907864571, 288.636474609, -248.854537964, 5593.43457031, -15.9979753494, 7.45258188248
       0.4415, 0.00497057661414, 0.202716290951, 0.286430090666, 289.232940674, -250.193008423, 5591.40478516, -15.1195497513, 7.22051334381
        0.442, 0.0049777762033, 0.20245975256, 0.286949425936, 289.850372314, -251.784057617, 5588.37255859, -14.094332695, 7.02481985092
       0.4425, 0.00498488405719, 0.202119663358, 0.287455171347,   290.5234375, -253.671386719, 5586.01904297, -12.9005184174, 6.74612522125
        0.443, 0.00499184150249, 0.201873332262, 0.287958055735, 291.139678955, -255.745178223, 5583.63574219, -11.6103258133, 6.50643920898
       0.4435, 0.00500105833635, 0.201551765203, 0.28844794631, 292.049713135, -257.993652344, 5581.01269531, -10.2405691147,   6.209441185
        0.444, 0.00501429289579, 0.201321840286, 0.28893533349, 292.985992432, -260.37097168,  5577.9453125, -8.82484149933, 5.96542358398
       0.4445, 0.00502857100219, 0.201019451022, 0.289410561323, 293.911193848, -262.768707275, 5574.15039062, -7.42429828644, 5.69186639786
        0.445, 0.00504029588774, 0.200798153877, 0.28988340497, 295.030059814, -265.200531006, 5570.90087891, -6.0323677063, 5.48305559158
       0.4455, 0.00504480209202, 0.200505301356, 0.290344357491, 296.308166504, -267.534057617, 5565.93554688, -4.71699762344, 5.26588392258
        0.446, 0.00503903161734, 0.200285211205, 0.290802925825, 297.406982422, -269.761749268, 5560.94580078,  -3.492613554, 5.13625383377
       0.4465, 0.00502035906538, 0.199988141656, 0.291249424219, 298.573272705, -271.801208496, 5555.70507812, -2.36926245689, 5.00030088425
        0.447, 0.00498944148421, 0.199766591191, 0.291693270206, 299.709869385, -273.590118408, 5549.74169922, -1.40344667435, 4.97285079956
       0.4475, 0.00494823465124, 0.199468180537, 0.292125046253, 300.859893799, -275.128051758, 5543.55224609, -0.565023064613, 4.94354724884
        0.448, 0.00489954231307, 0.199249610305,  0.2925542593, 301.690155029, -276.300170898, 5536.83789062, 0.0785551220179, 5.02410936356
       0.4485, 0.0048466087319, 0.198956757784, 0.292971581221, 302.782470703, -277.165893555, 5531.02685547, 0.562633037567, 5.10451078415
        0.449, 0.00479081552476, 0.198750764132, 0.293386727571, 303.913513184, -277.644958496, 5524.25927734, 0.84892398119, 5.28573322296
       0.4495, 0.00473424838856, 0.198470652103, 0.293790459633, 305.051422119, -277.742340088, 5518.09228516, 0.940825104713, 5.46402263641
         0.45, 0.00467885937542, 0.198276147246, 0.294192314148, 306.369445801, -277.471588135, 5512.70117188, 0.859887957573, 5.72231245041
       0.4505, 0.00462628528476, 0.198014602065, 0.29458335042, 308.006072998, -276.79989624, 5507.20410156, 0.578186750412, 5.96799516678
        0.451, 0.00457797525451, 0.197833687067, 0.294972956181, 309.756561279, -275.805419922, 5502.40771484, 0.140139728785, 6.27367973328
       0.4515, 0.00453433347866, 0.197589591146, 0.295352458954, 311.539428711, -274.442108154, 5497.81396484, -0.472951412201, 6.54844427109
        0.452, 0.00449725426733, 0.197417929769, 0.295730620623, 313.495391846, -272.800720215, 5494.48974609, -1.2318791151, 6.86275911331
       0.4525, 0.00446670502424, 0.197193801403, 0.296099543571, 315.551208496, -270.89730835, 5490.64648438, -2.10464453697, 7.12279558182
        0.453, 0.00444306991994, 0.197036102414, 0.296467125416, 317.211242676, -268.761566162, 5487.38037109, -3.10858345032, 7.40572357178
       0.4535, 0.0044264937751, 0.196821466088, 0.296826004982, 318.869110107, -266.499725342,    5484.90625, -4.17261362076, 7.61189889908
        0.454, 0.0044171451591, 0.196667224169, 0.297183454037, 320.208404541, -264.095031738, 5481.80859375, -5.32445859909, 7.82299089432
       0.4545, 0.00441546086222, 0.196458771825, 0.297532469034, 321.193603516, -261.674957275, 5479.00585938, -6.49758958817, 7.95000982285
        0.455, 0.00442189536989, 0.196307182312, 0.297879993916, 321.590515137, -259.247283936, 5475.87060547, -7.69085836411,  8.0606508255
       0.4555, 0.00443968269974, 0.196094825864, 0.298219114542, 321.679626465, -256.885864258, 5473.14257812, -8.87654209137, 8.08868217468
        0.456, 0.0044714929536, 0.19594424963, 0.298556804657, 321.305023193, -254.654205322, 5469.28710938, -10.0097589493, 8.09686756134
       0.4565, 0.00452007865533, 0.195739880204, 0.298886299133,   320.2371521, -252.549942017, 5465.31347656, -11.0940713882, 8.02467536926
        0.457, 0.00458908081055, 0.19559507072, 0.299214422703, 318.861663818, -250.684432983, 5461.58349609, -12.070854187,  7.9346408844
       0.4575, 0.00468129571527, 0.195402339101, 0.299534529448, 317.230529785, -249.022109985, 5456.66259766, -12.9427585602,  7.7743806839
        0.458, 0.00479897810146, 0.195264741778, 0.299853473902, 315.251678467, -247.636169434, 5451.76855469, -13.6828308105, 7.61102437973
       0.4585, 0.00494176102802, 0.195072427392, 0.300164520741, 313.198822021, -246.524703979,  5446.4609375, -14.253153801, 7.37928628922
        0.459, 0.00511104753241, 0.194933801889, 0.300474226475, 311.256591797, -245.694625854, 5441.41503906, -14.6744613647, 7.16300582886
       0.4595, 0.00530685251579, 0.194749504328, 0.300776213408, 309.718688965, -245.193939209, 5435.55029297, -14.8928766251, 6.88964176178
         0.46, 0.00552819482982, 0.194615960121, 0.301076859236, 308.272399902, -244.952072144, 5429.86425781, -14.9452753067, 6.64620351791
       0.4605, 0.00577476341277, 0.194435268641, 0.301369816065, 307.603271484, -245.040176392, 5424.93017578, -14.7978754044, 6.36233758926
        0.461, 0.00604637106881, 0.194313243032, 0.301661461592,  307.66619873, -245.407211304, 5419.35302734, -14.4708404541,   6.114402771
       0.4615, 0.00634255120531, 0.194140940905, 0.301945865154, 308.492950439, -246.044754028,    5414.46875, -13.9833631516, 5.85082387924
        0.462, 0.00666095130146, 0.194016337395, 0.302229106426, 310.290496826, -246.949737549, 5409.90136719, -13.3199710846, 5.62967777252
       0.4625, 0.00700020277873, 0.193902477622, 0.302508533001,  313.20526123, -248.059341431, 5406.08349609, -12.5372934341,  5.4383559227
        0.463, 0.00735810259357, 0.193707793951, 0.302779763937, 317.425018311, -249.399856567,    5402.09375, -11.6145849228,  5.2218580246
       0.4635, 0.00773066096008, 0.193583548069, 0.303051829338, 322.523223877, -250.868118286, 5398.65429688, -10.6118564606, 5.08723640442
        0.464, 0.00811417028308, 0.193478092551, 0.303320556879, 328.940734863, -252.482955933, 5396.24316406, -9.54068374634, 4.98682498932
