Time,Ay,AVz
        4.025, -0.519472360611, -9.35040473938
         4.05, -0.471860647202, -6.12663459778
        4.075, -0.418616086245, -2.59654927254
          4.1, -0.362976759672, 1.21846628189
        4.125, -0.306061983109, 5.26055860519
         4.15, -0.24557569623, 9.42739486694
        4.175, -0.178259879351, 13.5691595078
          4.2, -0.103317476809, 17.5126094818
        4.225, -0.0246632732451, 21.1134033203
         4.25, 0.0689601749182, 24.1481819153
        4.275, 0.166995048523, 26.4330234528
          4.3, 0.270054608583, 27.8764724731
        4.325, 0.372173398733, 28.4005565643
         4.35, 0.458074629307, 28.1048412323
        4.375, 0.518195152283, 27.2263469696
          4.4, 0.561520397663, 25.9729728699
        4.425, 0.59508138895, 24.5053863525
         4.45, 0.621739149094, 22.9142799377
        4.475, 0.641907036304, 21.2694072723
          4.5, 0.658301055431, 19.6189727783
        4.525, 0.671282291412, 17.9955215454
         4.55, 0.680902183056, 16.4140815735
        4.575, 0.685262084007, 14.8838911057
          4.6, 0.682572245598, 13.4042816162
        4.625,  0.6725435853, 11.9538116455
         4.65, 0.658572912216, 10.4877214432
        4.675, 0.644474804401, 8.97011947632
          4.7, 0.631458282471, 7.40268325806
        4.725, 0.620169937611,  5.8049530983
         4.75, 0.608438849449, 4.20554161072
        4.775, 0.595655024052, 2.63444566727
          4.8, 0.579438388348,  1.1234651804
        4.825, 0.55931198597, -0.295998066664
         4.85, 0.535166740417, -1.5886888504
        4.875, 0.506976246834, -2.71707725525
          4.9, 0.476487964392, -3.65926074982
        4.925, 0.440630763769, -4.37489461899
         4.95, 0.402630060911, -4.82306671143
        4.975, 0.363965272903, -4.99690628052
            5, 0.324461311102, -4.91014099121
        5.025, 0.286152869463, -4.56614780426
         5.05, 0.250563710928, -3.99458026886
        5.075, 0.218678340316, -3.2329621315
          5.1, 0.19091668725, -2.32592558861
        5.125, 0.167232692242, -1.31934821606
         5.15, 0.147446677089, -0.263814121485
        5.175, 0.131745904684, 0.791766524315
          5.2, 0.120048977435, 1.80284273624
        5.225, 0.111856907606,  2.7306830883
         5.25, 0.106449984014, 3.54011082649
        5.275, 0.103098534048,  4.2010641098
          5.3, 0.101337045431, 4.68904495239
        5.325, 0.100946165621, 4.99134349823
         5.35, 0.101324461401,  5.1061258316
        5.375, 0.102020464838, 5.04117631912
          5.4, 0.102664664388, 4.81113100052
        5.425, 0.102841503918, 4.43656873703
         5.45, 0.102093830705, 3.94174551964
        5.475, 0.10003028065,  3.3527572155
          5.5, 0.096506267786, 2.69684243202
        5.525, 0.0913739949465, 2.00090575218
         5.55, 0.0845619142056, 1.29078328609
        5.575, 0.0760889276862, 0.589792311192
          5.6, 0.0662245601416, -0.0804407298565
        5.625, 0.0552843362093, -0.70088070631
         5.65, 0.0435495041311, -1.25560665131
        5.675, 0.031105902046, -1.73259985447
          5.7, 0.0182329248637, -2.12317323685
        5.725, 0.00539246061817, -2.42255949974
         5.75, -0.00709525030106, -2.62921619415
        5.775, -0.0189635809511, -2.74513363838
          5.8, -0.0299629513174, -2.77512311935
        5.825, -0.0398257635534, -2.72596478462
         5.85, -0.0483611747622, -2.60650515556
        5.875, -0.0554863512516, -2.42734932899
          5.9, -0.0611649826169, -2.20039391518
        5.925, -0.0653741136193, -1.93839085102
         5.95, -0.0681765675545, -1.65449416637
        5.975, -0.0696695968509, -1.36099779606
            6, -0.0699487179518, -1.06929242611
        6.025, -0.0691335126758, -0.789560437202
         6.05, -0.0673488527536, -0.530486285686
        6.075, -0.0646341741085, -0.298592954874
          6.1, -0.0611428692937, -0.098506078124
        6.125, -0.0571165382862, 0.066870816052
         6.15, -0.0527567341924, 0.195957764983
        6.175, -0.0482455529273, 0.288307160139
          6.2, -0.0437422730029, 0.344591677189
        6.225, -0.0393864996731, 0.366551220417
         6.25, -0.0352794528008, 0.356893211603
        6.275, -0.031509693712, 0.319226354361
          6.3, -0.028156530112, 0.257881373167
