Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_Design,X_L1,X_L2,X_R1,X_R2,X_Target,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_Design,Y_L1,Y_L2,Y_R1,Y_R2,Y_Target,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0.65, -0.1176539724653, 0, 6, 1.994331184772, -0.25264586559, -0.2527989932362, 0.7431884973179, 1.463574787291, -1.252335575733, -1.638087758368, 9.656800624616, 9.652652849617, 9.619380586875, 9.617810075782, -3.366843264548, 99.82105372095, 100, 99.85655769081, 102.5250600128, 118.4627212502, 102.7274120805, 102.9288221142, 100.9569121993, 102.1421098823, 100.1677024066, 102.7274120805, -32.10124075196, -32.09696052351, -32.3711491692, -32.4058098653, -31.87631618377, -58.47811791201, -68.47421791782, -58.12042197629, -57.85618578713, -56.61628046557, -59.10988793729, -57.87420502693, -58.12042197629, 45.06185314676, 44.64654122234, 44.97391081622, 45.03578549549, 44.9761015624, 45.03779798503
0.675, -0.1067073178407, 0, 6, 1.996943924469, -0.2402417774019, -0.2403877688538, 0.7565716374194, 1.458711112719, -1.239472177031, -1.636404679412, 10.02730009353, 10.02309392766, 9.989379610702, 9.987787648846, -2.957982268417, 99.81967561456, 100, 99.85534279464, 103.113317365, 119.0449349155, 103.3301990981, 103.5174183417, 101.5462599223, 102.7299789866, 100.7563028838, 103.3301990981, -32.13565635078, -32.11263644061, -32.40291468423, -32.42004112541, -31.90958409173, -58.84479702477, -68.85056122055, -58.46142963893, -58.22316005748, -56.98207595768, -59.47640864549, -58.23953386331, -58.46142963893, 45.04337865079, 44.62801387962, 44.95535779646, 45.01728783486, 44.9575656543, 45.01931012045
0.7, -0.0963715881495, 0, 6, 1.998045432757, -0.2284228873204, -0.2285618497791, 0.7703919761245, 1.45528101972, -1.228084592823, -1.635566008495, 10.39776732992, 10.39351014519, 10.35940721861, 10.35779646304, -2.557250824919, 99.81860563742, 100, 99.85436434624, 103.7012744697, 119.6275697436, 103.9329634714, 104.1056640445, 102.135165837, 103.3175903035, 101.34455377, 103.9329634714, -32.16587472265, -32.12452474187, -32.4308262147, -32.43088320232, -31.93846030407, -59.21196030228, -69.22620875509, -58.8024378724, -58.59058468645, -57.34846423396, -59.84343357857, -58.60551218573, -58.8024378724, 45.02485015615, 44.60946293626, 44.93682610373, 44.99872878979, 44.93904787435, 45.00076555501
0.725, -0.08654567045427, 0, 6, 1.99746136614, -0.2171235264514, -0.2172555375556, 0.7846026810636, 1.453472455384, -1.217802331765, -1.635931902384, 10.76820478252, 10.7639040139, 10.72946233056, 10.72783476291, -2.164593116052, 99.81784001173, 100, 99.85359924185, 104.2889654562, 120.2106260175, 104.535709322, 104.69359477, 102.7236698658, 103.9049740162, 101.9324904523, 104.535709322, -32.19209186203, -32.13332626879, -32.45524265268, -32.43936593564, -31.96298755145, -59.57955863133, -69.60116709464, -59.14345363749, -58.95841167077, -57.71539087241, -60.21091184726, -58.97208269243, -59.14345363749, 45.00628609956, 44.59091032735, 44.91833544564, 44.98013831489, 44.92056535375, 44.98218956165
0.75, -0.077413709598, 0, 6, 1.995310869045, -0.2062183710295, -0.2063434817758, 0.7991125585158, 1.453199496063, -1.208518440158, -1.636847833056, 11.13861419006, 11.13427724192, 11.09954439128, 11.09789621346, -1.780061490477, 99.81737895858, 100, 99.85304312433, 104.8764217616, 120.7941095891, 105.1384364165, 105.2812439503, 103.3118088849, 104.4921595733, 102.5201462245, 105.1384364165, -32.21446410245, -32.13945046782, -32.47638965745, -32.44576435616, -31.98331648295, -59.94754369963, -69.97543353525, -59.48448471708, -59.32659441738, -58.08280419981, -60.57879505362, -59.3391916216, -59.48448471708, 44.9877122952, 44.57237946853, 44.89990353588, 44.96154876067, 44.90213401391, 44.96361098804
0.775, -0.06850306342274, 0, 6, 1.9918928269, -0.1956188214815, -0.1957370950662, 0.8136425228308, 1.45413156987, -1.199880213071, -1.639140610851, 11.50899641128, 11.50463028947, 11.46965278366, 11.4679882451, -1.40372762535, 99.81709395118, 100, 99.85259062538, 105.4636715647, 121.3780278404, 105.7411398434, 105.8686420918, 103.8996164572, 105.0791741778, 103.1075517063, 105.7411398434, -32.23312606083, -32.14299711104, -32.49420972355, -32.44973687541, -31.99961030769, -60.31586939082, -70.34900164433, -59.82552456359, -59.69508797844, -58.45065544698, -60.94703777411, -59.70678857273, -59.82552456359, 44.96915652727, 44.55389213621, 44.88153433454, 44.94298821693, 44.88375858074, 44.94505641835
0.8, -0.05987166873229, 0, 6, 1.987726324213, -0.185196738887, -0.1853082429289, 0.8276555175159, 1.456026256772, -1.191164575268, -1.64200107017, 11.87934999106, 11.87496452744, 11.83978636441, 11.83811533965, -1.035376364787, 99.8170590934, 100, 99.85235260103, 106.0507403959, 121.96237917, 106.3438226485, 106.455818103, 104.4871257766, 105.6660423049, 103.694736137, 106.3438226485, -32.24825396165, -32.14378507764, -32.508861202, -32.45097426993, -32.0121973113, -60.68449078405, -70.72187836505, -60.16656587602, -60.0638491561, -58.81889672037, -61.31559645091, -60.07482351291, -60.16656587602, 44.95064175313, 44.53546085516, 44.86321406493, 44.92447976654, 44.86542463975, 44.92654601971
0.825, -0.05163966105567, 0, 6, 1.983542870543, -0.1747985137749, -0.1749033144147, 0.8405904263029, 1.458704324788, -1.181733225726, -1.644674428826, 12.24967455396, 12.24528108195, 12.20994382678, 12.2082704648, -0.6747983643694, 99.81718121743, 100, 99.85226886865, 106.6376511618, 122.5471511699, 106.9464865301, 107.0427998405, 105.0743702824, 106.2527864477, 104.2817278296, 106.9464865301, -32.2600765742, -32.14158968208, -32.52030893592, -32.4492618467, -32.02143459962, -61.05336450486, -71.09408753043, -60.50760059223, -60.43283779003, -59.18748115214, -61.68442947887, -60.44324667729, -60.50760059223, 44.9321823255, 44.51708527633, 44.84492271413, 44.90604223249, 44.84710993565, 44.90809587297
0.85, -0.04365019900668, 0, 6, 1.980163113973, -0.1643136220941, -0.1644118008719, 0.8528295122368, 1.461639737002, -1.171296163653, -1.64662392139, 12.61998221273, 12.615580888, 12.58012327694, 12.57845037973, -0.3217433104471, 99.81744449825, 100, 99.85235848268, 107.2244243345, 123.1323259154, 107.5491320219, 107.6296142763, 105.6613820603, 106.8394273373, 104.8685534704, 107.5491320219, -32.26884083831, -32.13716135803, -32.52872304875, -32.44497153819, -32.02770572858, -61.4224488065, -71.46566022245, -60.84861999241, -60.80201650113, -59.5563630315, -62.05349657617, -60.81200931166, -60.84861999241, 44.91378358123, 44.49875424364, 44.82664007521, 44.8876836182, 44.82879276344, 44.88971411045
0.875, -0.0360703284958, 0, 6, 1.97822129127, -0.1536922892745, -0.1537839415749, 0.8640346984648, 1.464290014751, -1.159764502646, -1.647221680242, 12.99027034859, 12.98586491001, 12.95032351788, 12.9486529407, 0.02395640242182, 99.8178297982, 100, 99.8526359742, 107.8110808172, 123.7178898007, 108.1517608405, 108.2162872443, 106.2481915671, 107.4259864807, 105.4552386937, 108.1517608405, -32.27476567306, -32.13016314311, -32.53417609811, -32.43795348657, -32.03142963505, -61.79170397623, -71.83662046891, -61.18961602821, -61.17134899185, -59.92549827953, -62.42275893524, -61.18106478377, -61.18961602821, 44.89544053959, 44.48045002973, 44.8083464943, 44.86939219642, 44.81045299815, 44.87139045614
