Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.199, 0.0895168110728, 0.561776697636, 0.66981035471, 486.984588623, -465.76348877, 8006.91210938, -26.2079391479, 19.1210823059
          0.2, 0.0849991887808, 0.547392487526, 0.702861607075, 860.678649902, -463.232025146, 7700.69482422, -26.7364749908, 17.5023193359
        0.201, 0.0791285261512, 0.531822860241, 0.736140727997, 1184.85510254, -459.873291016,  7394.1640625, -27.1612586975, 15.7757606506
        0.202, 0.0721133872867, 0.515261769295, 0.76950520277, 1455.34680176, -455.773681641, 7088.44335938, -27.4772548676, 14.0584030151
        0.203, 0.0641760975122, 0.497893929482, 0.802811384201, 1670.79199219, -451.030975342, 6784.62792969, -27.6812477112, 12.4370756149
        0.204, 0.0555426068604, 0.47989410162, 0.835915803909, 1832.14526367,       -445.75, 6483.77929688, -27.7719078064, 10.9681425095
        0.205, 0.0464343391359, 0.461426109076, 0.86867582798, 1942.06469727, -440.038543701, 6186.91796875, -27.7497901917, 9.68152713776
        0.206, 0.0370615310967, 0.442642092705, 0.900950729847, 2004.30334473, -434.003875732, 5895.02099609, -27.6172847748, 8.58676052094
        0.207, 0.0276175905019, 0.423681527376, 0.93260216713, 2023.18371582, -427.749694824, 5609.01708984, -27.3785228729,  7.6792345047
        0.208, 0.0182766709477, 0.404660761356, 0.963495016098, 2003.18969727, -421.373413086, 5329.78515625, -27.0392570496, 6.94552659988
        0.209, 0.0091931251809, 0.385685831308, 0.993498623371, 1948.68676758, -414.963592529, 5058.15087891, -26.6067295074, 6.36734390259
         0.21, -0.00865567848086, 0.356951445341, 1.02249777317, 1843.15283203, -407.927642822, 4771.89257812, -25.9695625305, 5.93920707703
        0.211, -0.0219276733696, 0.327645540237, 1.05043745041, 1677.74768066, -398.917541504, 4434.52490234, -24.9266719818, 5.57424592972
        0.212, -0.0323327966034, 0.296123176813, 1.07720553875, 1473.45373535, -388.327972412, 4063.51757812, -23.5500030518, 5.21627569199
        0.213, -0.0401565618813, 0.261703133583, 1.10250711441, 1244.58398438, -376.288208008, 3666.04272461, -21.8624954224, 4.82120800018
        0.214, -0.045521017164, 0.229201838374,  1.1266617775, 1003.86322021, -365.452667236, 3316.08398438, -20.3041229248, 4.51835441589
        0.215, -0.0485983528197, 0.186645373702, 1.14901423454, 753.401489258, -350.847137451, 2887.23339844, -18.1237983704, 4.00434303284
        0.216, -0.0498053617775, 0.145124167204, 1.17065167427, 512.466125488, -337.569091797, 2527.54736328, -16.2387332916, 3.57406973839
        0.217, -0.0468720346689, 0.0882522761822, 1.19027280807, 285.389984131, -319.350799561, 2074.07836914, -13.6174640656, 2.89906930923
        0.218, -0.0421766005456, 0.0302931107581, 1.21030783653, 97.0246276855, -301.554595947, 1708.43164062, -11.4536409378, 2.32086372375
        0.219, -0.0282961241901, -0.0359191149473, 1.23055708408, -43.4775314331, -279.153076172, 1322.05847168, -9.03984069824, 1.65547156334
         0.22, -0.0107184676453, -0.102324225008, 1.25051438808, -90.3879013062, -244.213989258, 807.421142578, -5.56363201141, 0.780170500278
        0.221, 0.00611847825348, -0.15126401186, 1.26668679714, -34.2005004883, -160.671264648, 251.947845459, -1.37193846703, -0.0106043871492
        0.222, 0.0150162028149, -0.162563964725, 1.29478883743,             0,             0,             0,             0,             0
        0.223, -0.0174631942064, 0.0603496693075, 1.25923991203,             0,             0,             0,             0,             0
        0.224, -0.0199867058545, 0.0983003005385, 1.25312972069,             0,             0,             0,             0,             0
        0.225, -0.0202446971089, 0.0914650261402, 1.24917280674,             0,             0,             0,             0,             0
        0.226, -0.02033364214, 0.0755742788315, 1.24317383766,             0,             0,             0,             0,             0
        0.227, -0.0204052012414, 0.0609521642327, 1.23521196842,             0,             0,             0,             0,             0
        0.228, -0.0204572137445, 0.0463639013469, 1.22539401054,             0,             0,             0,             0,             0
        0.229, -0.0204910449684, 0.0319287888706, 1.21380615234,             0,             0,             0,             0,             0
         0.23, -0.0205074176192, 0.0175401046872,  1.2005238533,             0,             0,             0,             0,             0
        0.231, -0.0205072332174, 0.00316145177931, 1.18562066555,             0,             0,             0,             0,             0
        0.232, -0.0204915180802, -0.0111985197291,  1.1691750288,             0,             0,             0,             0,             0
        0.233, -0.0204613041133, -0.0255356915295, 1.15127110481,             0,             0,             0,             0,             0
        0.234, -0.020417585969, -0.0398536883295, 1.13199603558,             0,             0,             0,             0,             0
        0.235, -0.0203613210469, -0.0541608035564, 1.11143684387,             0,             0,             0,             0,             0
        0.236, -0.0202934201807, -0.0684685409069, 1.08968019485,             0,             0,             0,             0,             0
        0.237, -0.0202147383243, -0.0827904269099, 1.06681025028,             0,             0,             0,             0,             0
        0.238, -0.0201260745525, -0.0971410647035, 1.04290854931,             0,             0,             0,             0,             0
        0.239, -0.0200281646103, -0.111535459757, 1.01805305481,             0,             0,             0,             0,             0
         0.24, -0.019921688363, -0.125988543034, 0.992317736149,             0,             0,             0,             0,             0
        0.241, -0.0198072604835, -0.140514105558, 0.965772807598,             0,             0,             0,             0,             0
        0.242, -0.0196854434907, -0.155124649405, 0.938484489918,             0,             0,             0,             0,             0
        0.243, -0.0195567738265, -0.169837012887, 0.910516083241,             0,             0,             0,             0,             0
        0.244, -0.0194217078388, -0.184656724334, 0.881928145885,             0,             0,             0,             0,             0
        0.245, -0.0192806441337, -0.199585452676, 0.852778434753,             0,             0,             0,             0,             0
        0.246, -0.0191339328885, -0.214622154832, 0.823122143745,             0,             0,             0,             0,             0
        0.247, -0.0189818739891, -0.229763418436, 0.793012082577,             0,             0,             0,             0,             0
        0.248, -0.0188247188926, -0.245003715158, 0.762498795986,             0,             0,             0,             0,             0
        0.249, -0.0186626743525, -0.260335683823, 0.731630682945,             0,             0,             0,             0,             0
         0.25, -0.0184959061444, -0.27575019002, 0.700454115868,             0,             0,             0,             0,             0
        0.251, -0.0183245390654, -0.291236758232, 0.669013619423,             0,             0,             0,             0,             0
        0.252, -0.0181486643851, -0.306780129671, 0.637351930141,             0,             0,             0,             0,             0
        0.253, -0.0179683417082, -0.322360187769,  0.6055098176,             0,             0,             0,             0,             0
        0.254, -0.017783600837, -0.337961822748, 0.57352656126,             0,             0,             0,             0,             0
        0.255, -0.0175944492221, -0.353569209576, 0.541439533234,             0,             0,             0,             0,             0
        0.256, -0.0174008756876, -0.369165748358, 0.509284794331,             0,             0,             0,             0,             0
        0.257, -0.0172028522938, -0.384734213352, 0.477096736431,             0,             0,             0,             0,             0
        0.258, -0.0170003380626, -0.400256872177, 0.444908261299,             0,             0,             0,             0,             0
        0.259, -0.0167932845652, -0.415715515614, 0.412750840187,             0,             0,             0,             0,             0
         0.26, -0.0165816415101, -0.431091725826, 0.380654513836,             0,             0,             0,             0,             0
        0.261, -0.0203559845686, -0.442756980658, 0.346974015236, -31.2950344086, -23.7708377838, 271.901397705, -0.432444363832, -0.0111234439537
        0.262, -0.0238293800503, -0.450371921062, 0.315625101328, -87.2185974121, -19.4570484161, 568.538452148, -0.997401297092, -0.0361575111747
        0.263, -0.025484809652, -0.457627743483, 0.284566909075, -142.869735718, -11.9401483536,  867.65814209, -1.42506599426, -0.100412294269
        0.264, -0.0260626003146, -0.463393747807, 0.253932327032, -202.171264648, -4.52176189423, 1168.23278809, -1.73804318905, -0.193654745817
        0.265, -0.0259780455381, -0.467088371515, 0.223848998547, -263.210235596, 3.02228307724, 1469.22216797, -1.94781196117, -0.316548466682
        0.266, -0.0254257004708, -0.468392580748, 0.194421425462, -324.230133057, 10.7844982147, 1769.60668945, -2.06094121933, -0.469766616821
        0.267, -0.0245084334165, -0.467114329338, 0.165741324425, -383.785614014,  18.787979126, 2068.39135742, -2.08321046829, -0.653429627419
        0.268, -0.0232904702425, -0.463131397963, 0.137889936566, -440.611236572, 27.0175056458, 2364.60888672, -2.02064800262, -0.866913199425
        0.269, -0.0218193102628, -0.456366896629, 0.110939159989, -493.572998047, 35.4336776733, 2657.32495117, -1.87978076935, -1.1087641716
